JOB=LET-0078
ARTIST=Amor Rebelde
TITLE=Mix Cuanto te amo
CURRENT_MASTER_WORDS=440
SCRIBE_WORDS=573
SCRIBE_TEXT_BEGIN
Debí saber que al amarte yo me perdía. Debí saber que tu mundo ya no era mío. ¿Cómo has hecho para amarte así? ¿Cómo has hecho que te quiera así? ¿Cómo has hecho? Me mataste, amor. ¿Cómo has hecho? ¿Cómo has hecho? ¡Oh! ¡Una bulla para Gian Franco! Ese es lo nuevo, nuevo. El mix. Cuando te amo. Amor rebelde. Es el baby, baby de la cumbia. ¿Y cómo has hecho? ¿Cómo has hecho para amarte así, mi amor? Y la chelita para arriba, para arriba, para arriba, para arriba, para arriba. ¡Salud, salud! Báilalo, Perú. Debí saber que al amarte yo me perdía. Debí saber que tu mundo ya no era mío. Es tan lejano aquel día en que me decías: "Ya no soy niña, no juego con sentimientos". ¿Cómo has hecho para amarte así? ¿Cómo has hecho que te quiera así? ¿Cómo has hecho? Me mataste, amor. ¿Cómo has hecho? ¿Cómo has hecho? Al saberte ajena a mis sentimientos, deseo preguntarte qué has hecho en mí. Oye, Gian Franco, ¿y cómo has hecho para enamorarlas? Dilo tú. Muchas gracias a mi club de fans. Y la mancha más alegre con la mano para arriba, arriba, arriba, arriba las manos, arriba las manos, arriba las manos, arriba. Gózalo, Perú. Debí saber que al amarte yo me perdía. Debí saber que tu mundo ya no era mío. Es tan lejano aquel día en que me decías: "Ya no soy niña, no juego con sentimientos". ¿Cómo has hecho para amarte así? ¿Cómo has hecho que te quiera así? ¿Cómo has hecho? Me mataste, amor. ¿Cómo has hecho? ¿Cómo has hecho? Al saberte ajena a mis sentimientos, deseo preguntarte qué has hecho en mí. ¿Y ahora? ¿Y para qué? Santeño, ¿y para qué quiero todo lo que tengo si no tengo su amor? Yo prefiero morir. Y todo el mundo con la mano para arriba. Arriba la manito. Sí, sí, cumbia y sabor. Sí, sí, cumbia y sabor. Sí, sí, cumbia y sabor. Amor rebelde. Un solo sentimiento. ¿Y cómo dice? Para qué quiero el mundo si pierdo el alma. Para qué quiero el alma si tú no me amas. Para qué quiero todo lo que yo tengo. Si no tengo tu amor, mejor me muero. Cuando te vi sabía que te quería. Desde hace mucho tiempo sin conocerte. Yo sé que si llegaste fue por mi mente. Te conocí en mis sueños antes de verte. Cómo te quiero, cómo te extraño, cómo quisiera decirte siempre cuánto te amo. Ojos azules como es el cielo, esta mi tierra que tanto quiero, que tanto quiero. Y la chela para arriba, arriba, arriba, arriba la chela, arriba, chela arriba, chela arriba. Está sonando para ti. Amor Rebelde. Cumpay Producciones. Para qué quiero el mundo si pierdo el alma. Para qué quiero el alma si tú no me amas. Para qué quiero todo lo que yo tengo. Si no tengo tu amor, mejor me muero. Cuando te vi sabía que te quería desde hace mucho tiempo sin conocerte. Yo sé que si llegaste fue por mi mente. Te conocí en mis sueños antes de verte. Cómo te quiero, cómo te extraño, cómo quisiera decirte siempre cuánto te amo. Ojos azules como es el cielo, esta mi tierra que tanto quiero, que tanto quiero. Y arriba la manito, arriba la chelita. Este es el mix, cuánto te amo. Facal Producciones y Irving Morales. ¿Dónde está la mancha más alegre?
SCRIBE_TEXT_END
WORDS_BEGIN
24.84	25.32	Debí
25.34	26.08	saber
26.3	26.38	que
26.42	26.56	al
26.57	27.32	amarte
27.36	27.58	yo
27.72	27.96	me
28.14	30.08	perdía.
31.42	31.84	Debí
31.98	32.64	saber
32.9	33.02	que
33.08	33.22	tu
33.34	33.86	mundo
33.92	34.22	ya
34.26	34.42	no
34.5	34.84	era
34.96	38.38	mío.
42.12	43.2	¿Cómo
43.21	43.46	has
43.6	44.04	hecho
44.38	44.62	para
44.629	45.64	amarte
45.7	46.46	así?
47.06	48.089	¿Cómo
48.14	48.38	has
48.4	48.98	hecho
49.32	49.38	que
49.44	49.52	te
49.64	50.62	quiera
50.64	51.44	así?
51.98	53.14	¿Cómo
53.18	53.19	has
53.28	53.78	hecho?
54.16	54.26	Me
54.3	55.3	mataste,
55.4	56.5	amor.
56.85	57.86	¿Cómo
57.87	58.06	has
58.14	58.68	hecho?
59.269	60.26	¿Cómo
60.28	60.47	has
60.62	61.88	hecho?
62.2	64.42	¡Oh!
64.48	64.84	¡Una
64.92	65.24	bulla
65.3	65.54	para
65.56	65.74	Gian
65.84	66.92	Franco!
68.94	69.12	Ese
69.13	69.19	es
69.2	69.26	lo
69.32	69.58	nuevo,
69.66	70.22	nuevo.
70.82	70.98	El
71.06	71.46	mix.
72.32	72.68	Cuando
72.74	72.84	te
72.98	73.74	amo.
74.72	75.02	Amor
75.03	75.86	rebelde.
77.22	77.36	Es
77.4	77.5	el
77.58	78.04	baby,
78.14	78.66	baby
78.72	78.82	de
78.84	79.0	la
79.04	80.14	cumbia.
83.72	87.02	¿Y
87.04	87.19	cómo
87.24	87.34	has
87.4	87.72	hecho?
88.23	88.37	¿Cómo
88.42	88.49	has
88.58	88.8	hecho
88.88	89.02	para
89.03	89.4	amarte
89.42	89.7	así,
89.74	89.78	mi
89.84	90.24	amor?
95.08	95.14	Y
95.18	95.22	la
95.3	95.72	chelita
95.78	96.04	para
96.05	96.25	arriba,
96.9	97.14	para
97.15	97.46	arriba,
97.48	97.72	para
97.74	97.96	arriba,
98.07	98.07	para
98.07	98.07	arriba,
98.08	98.3	para
98.32	98.7	arriba.
99.03	99.33	¡Salud,
99.4	99.79	salud!
101.24	102.22	Báilalo,
102.26	103.0	Perú.
106.76	107.18	Debí
107.22	107.66	saber
107.78	107.84	que
107.9	107.98	al
108.02	108.56	amarte
108.62	108.74	yo
108.86	109.02	me
109.16	110.72	perdía.
111.38	111.76	Debí
111.86	112.28	saber
112.36	112.5	que
112.58	112.7	tu
112.76	113.16	mundo
113.2	113.4	ya
113.48	113.56	no
113.62	113.98	era
114.14	115.3	mío.
116.04	116.14	Es
116.2	116.42	tan
116.44	116.98	lejano
117.04	117.28	aquel
117.34	117.6	día
117.7	117.71	en
117.74	117.88	que
118.1	118.24	me
118.28	119.94	decías:
120.46	120.72	"Ya
120.76	120.9	no
120.98	121.18	soy
121.2	121.64	niña,
121.74	121.82	no
121.9	122.3	juego
122.36	122.52	con
122.64	124.98	sentimientos".
125.35	126.28	¿Cómo
126.32	126.5	has
126.56	127.06	hecho
127.36	127.58	para
127.6	128.56	amarte
128.62	129.22	así?
129.94	130.92	¿Cómo
130.94	131.14	has
